,title
26232,Wishmaster 4: The Prophecy Fulfilled
26241,Shark Attack
26255,Ator the Iron Warrior
26364,Valley of Head Hunters
26366,Voodoo Tiger
26374,Tarzan and the Amazons
26401,Shark Attack 2
26429,The Sky Dragon
26435,When A Stranger Calls Back
26439,Tooth Fairy 2
26455,Sometimes They Come Back... for More
26477,Vampires: The Turning
26481,Walking Tall: The Payback
26506,War of the Colossal Beast
26524,Joy Ride 3
26529,Hercules and the Amazon Women
26541,MVP 2: Most Vertical Primate
26542,Air Bud: Seventh Inning Fetch
26545,Air Buddies
26546,The Search for Santa Paws
26549,Santa Paws 2: The Santa Pups
26550,Super Buddies
26553,Warlock III: The End of Innocence
26622,Mostly Ghostly
26623,Muscle Beach Party
26628,Nemesis 4: Death Angel
26629,Nemesis 3: Time Lapse
26639,The Curse of the Mummy's Tomb
26655,Space Chimps 2: Zartog Strikes Back
26673,Mad Max: Fury Road
26674,Insidious: Chapter 3
26675,Star Wars: The Force Awakens
26678,Avengers: Age of Ultron
26682,Ant-Man
26684,Deadpool
26686,Guardians of the Galaxy Vol. 2
26687,Captain America: Civil War
26689,X-Men: Apocalypse
26704,The Gambler Returns: The Luck Of The Draw
26713,One More Time
26736,Return of Sabata
26775,Ritual
26851,Return to Nim's Island
26923,The Jade Mask
26943,Hayride
26953,The Golden Eye
27064,Whistling in the Dark
27066,Whistling in Dixie
27067,Whistling in Brooklyn
27085,The Shanghai Cobra
27097,House Party 4: Down to the Last Minute
27101,The Snow Queen
27113,The Lone Wolf Spy Hunt
27166,Tarzan's Greatest Adventure
27232,Hills of Home
27275,Justice League: Throne of Atlantis
27283,The Ouija Experiment
27332,Kenny Rogers as The Gambler
27373,Shadows Over Chinatown
27382,TekWar
27414,Richard The Lionheart
27415,Sweeney!
27480,Snake Eater
27495,The Trap
27514,He Who Dares
27601,Fifty Shades of Grey
27628,Halloweentown II: Kalabar's Revenge
27797,"Daddy, I'm A Zombie"
27800,Outrage Beyond
27851,The Fox and the Hound 2
27903,The Land Unknown
27909,Fantomas
28047,[REC]⁴ Apocalypse
28157,Screwballs
28158,Loose Screws
28160,Screwball Hotel
28167,"I Am Sartana, Trade Your Guns for a Coffin"
28168,"Have a Good Funeral, My Friend... Sartana Will Pay"
28170,Light the Fuse... Sartana Is Coming
28193,Beethoven's 3rd
28220,The Adventures of Hercules
28263,Mark Strikes Again
28312,Jönssonligan får guldfeber
28328,Lilla Jönssonligan på styva linan
28358,Wild Geese II
28418,Bride of Boogedy
28454,"Ilsa, Harem Keeper of the Oil Sheiks"
28457,"Honey, We Shrunk Ourselves"
28461,House IV
28467,Stitch! The Movie
28470,Hot Tub Time Machine 2
28492,"Ilsa, the Mad Butcher"
28520,Tarzan's Savage Fury
28566,The Gamers
28572,The SpongeBob Movie: Sponge Out of Water
28587,Tomie: Unlimited
28624,Twins of Evil
28630,George Carlin: It's Bad for Ya!
28688,Soulless
28703,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League
28767,Stand by Me Doraemon
28799,Carry On Cowboy
28804,Gidget Goes Hawaiian
28854,Tribulation
28902,Insurgent
28906,La vérité si je mens !
28935,The Disappearance of Eleanor Rigby: Her
28936,The Disappearance of Eleanor Rigby: Him
28952,Furious 7
28961,The Happy Hooker
28964,A new generation of action-adventure excitement!
28971,The Happy Hooker Goes To Washington
28978,Lemon Popsicle
28988,Robotech: The Movie
29002,The Stud
29024,Spiders 2: Breeding Ground
29047,George Carlin: Life Is Worth Losing
29075,Stargate SG-1: Children of the Gods - Final Cut
29090,Cinderella III: A Twist in Time
29093,The Little Polar Bear: Lars and the Little Tiger
29128,Ants in the Pants 2
29153,Ants in the Pants
29190,Sabrina the Teenage Witch
29198,Thunderhead - Son of Flicka
29205,Rurouni Kenshin: Kyoto Inferno
29238,Hardbodies 2
29239,Hardbodies
29313,Batman vs. Robin
29462,Paul Blart: Mall Cop 2
29524,The Return of Count Yorga
29530,The Dead 2: India
29580,Lage Raho Munna Bhai
29662,Batman Unlimited: Animal Instincts
29731,Emmanuelle 3
29734,Emmanuelle 6
29735,Black Emanuelle
29736,Emmanuelle in Bangkok
29738,Emmanuelle and the Last Cannibals
29739,Emmanuelle Around the World
29740,Caged Women
29774,Ghosthouse
29800,Barbie: Fairytopia
29817,Barbie: Mariposa and The Fairy Princess
29831,Hitman: Agent 47
29869,Cocaine Cowboys: Reloaded
29925,Pitch Perfect 2
30024,Sleepaway Camp III: Teenage Wasteland
30033,Monsters: Dark Continent
30041,Hera Pheri
30048,"Ilsa, the Tigress of Siberia"
30061,Martial Law
30065,The Human Centipede 3 (Final Sequence)
30087,Carry On Don't Lose Your Head
30105,Deadlier Than the Male
30106,Some Girls Do
30266,Tinker Bell
30405,To Trap a Spy
30451,Tanu Weds Manu
30525,The Hunger Games: Mockingjay - Part 2
30526,Max
30528,Allegiant
30529,Fantastic Beasts and Where to Find Them
30569,Mostly Ghostly: Have You Met My Ghoulfriend?
30578,Johnny Tsunami
30579,Johnny Kapahala - Back on Board
30627,The Secret Life of Pets
30634,Ghost in the Shell: Stand Alone Complex - The Laughing Man
30684,Independence Day: Resurgence
30695,1920
30763,Carry On Doctor
30776,Golmaal
30802,Dhoom 2
30817,Ted 2
30827,Minions
30849,Firestarter 2: Rekindled
30859,Universal Soldier III: Unfinished Business
30865,Return to Sleepaway Camp
30884,Bloodsport III
30888,Spectre
30889,Killer Tomatoes Strike Back!
30890,Golgo 13: The Professional
30923,Cross
30930,The Howling: Reborn
30932,Boogeyman 2
30933,Bad Kids Go To Hell
30965,The Scorpion King: Quest for Power
31013,Ghost in the Shell 2.0
31022,Kim Possible: A Sitch in Time
31030,Prep & Landing
31031,Robot Chicken: Star Wars
31050,The Amityville Playhouse
31051,Thunder in Paradise
31064,Gingerdead Man vs. Evil Bong
31085,Vacation
31095,Pokémon the Movie: Genesect and the Legend Awakened
31096,Pokémon: Arceus and the Jewel of Life
31097,Pokémon: The Rise of Darkrai
31099,See No Evil 2
31104,The Pact II
31105,The Ouija Experiment 2: Theatre of Death
31199,Batman v Superman: Dawn of Justice
31228,TEKKEN: Kazuya's Revenge
31390,The Creature Walks Among Us
31406,Blue Lagoon: The Awakening
31447,Magic Mike XXL
31804,Joe Dirt 2: Beautiful Loser
31877,I'll Always Know What You Did Last Summer
31912,Afro Samurai
31976,Leviathan: The Story of Hellraiser and Hellbound: Hellraiser II
32115,Lavalantula
32174,Tiny Times 3
32223,Language of Love
32243,Batman Unlimited: Monster Mayhem
32262,Descendants
32284,Tarzan II
32290,Pokémon: Giratina and the Sky Warrior
32390,Sting of the Black Scorpion
32391,Black Scorpion
32392,Black Scorpion II: Aftershock
32403,Death Train
32404,The Parent Trap II
32406,"Family Guy Presents: Something, Something, Something, Dark Side"
32413,The Shadow Strikes
32423,Nancy Drew... Reporter
32430,Sinister 2
32449,Further Adventures of the Wilderness Family
32491,Curious George 2: Follow That Monkey!
32538,Sailor Moon S the Movie: Hearts in Ice
32539,Sailor Moon R: The Movie
32540,Sailor Moon Super S: The Movie
32607,Library Wars
32663,Arthur 3: The War of the Two Worlds
32695,Hard Time: Hostage Hotel
32782,The Hunchback of Notre Dame II
32783,HK: Forbidden Super Hero
32945,The Rise of the Krays
32955,Hot Wheels Acceleracers: Ignition
32957,Pokémon: Zoroark: Master of Illusions
32964,Contracted: Phase II
32970,Pokémon the Movie: Diancie and the Cocoon of Destruction
32971,Pokémon the Movie: Hoopa and the Clash of Ages
32993,The Transporter Refueled
33008,La Vérité si je Mens ! 3
33019,Fallen
33020,The Crossing
33045,Return to Halloweentown
33075,12 Rounds 3: Lockdown
33079,Robert the Doll
33123,Attack on Titan II: End of the World
33206,Scanner Cop
33230,A Date with the Falcon
33270,Witchboard 2: The Devil's Doorway
33344,Robot Wars
33353,Life Eternal
33371,Hotel Transylvania 2
33481,Wonder Woman
33573,Nobel's Last Will
33592,Carry On Jack
33671,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!
33695,McHale's Navy Joins the Air Force
33697,Sleepaway Camp IV: The Survivor
33794,4bia
33919,Cold War
33983,Blondie Has Servant Trouble
34089,Paranormal Activity: The Ghost Dimension
34131,David
34155,K-9: P.I.
34159,Half Past Dead 2
34201,The Chinese Boxer
34241,All Hallows' Eve
34352,Bloodsport: The Dark Kumite
34628,Creed
34887,Anacondas: Trail of Blood
34965,Ma and Pa Kettle Go to Town
34979,Young and Dangerous 5
35087,My Little Pony: Equestria Girls - Rainbow Rocks
35100,Dark Woods II
35115,Escape from the Bronx
35182,Mega Shark vs. Mecha Shark
35301,Wizards of Waverly Place: The Movie
35346,Zoolander 2
35440,Tupla-Uuno
35466,Jimi Plays Monterey
35488,Daddy's Home
35513,Kung Fu Panda 3
35570,Alligator 2 - The Mutation
35572,Dick Tracy Meets Gruesome
35662,Thou Shalt Laugh 3
35664,Thou Shalt Laugh 2 - The Deuce
35700,F.C. De Kampioenen: Kampioen zijn blijft plezant
35711,Angels' Alley
35790,OSS 117: Mission for a Killer
35795,Slime City
35849,The Cheetah Girls: One World
35929,The Rise & Fall of a White Collar Hooligan
35971,The Reunion
36081,Tarzan and the Leopard Woman
36089,Witchcraft
36093,Deathstalker and the Warriors from Hell
36094,Deathstalker IV: Match of Titans
36095,Dream a Little Dream 2
36103,Ride Along 2
36110,Batman: Bad Blood
36186,ABCD (Any Body Can Dance)
36264,Revenge of the Stepford Wives
36370,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
36379,London Has Fallen
36392,Carry On Up the Jungle
36393,Carry On Matron
36398,Carry On Abroad
36429,Lapland Odyssey 2
36464,Carry On Loving
36492,Raaz
36497,Carry On Again Doctor
36673,Naked Soldier
37092,Welcome
37244,1920: Evil Returns
37386,Thumb Wars: The Phantom Cuticle
37387,Thumbtanic
37488,Hold That Baby!
37526,Hate Story 3
37532,All Stars 2: Old Stars
37568,The Ouija Exorcism
37611,Carry On Girls
37690,Monster High Great Scarrier Reef
37709,The Amityville Asylum
37715,Angels in Disguise
37723,Master Minds
37738,Return to Nuke 'Em High Volume 1
37758,Pee-wee's Big Holiday
37820,My Big Fat Greek Wedding 2
37884,The House of Fear
37940,Blonde Dynamite
37955,Lucky Losers
37993,Blues Busters
37994,Triple Trouble
37995,Bowery Battalion
37996,SO HILARIOUS! IT'S CRAZY ENOUGH TO MAKE EVEN A HORSE LAUGH!
37997,Let's Go Navy!
37999,Here Come the Marines
38000,Hold That Line
38001,Clipped Wings
38002,Jalopy
38004,Private Eyes
38005,Paris Playboys
38006,Bowery to Bagdad
38007,Dig That Uranium
38008,High Society
38009,Jail Busters
38010,Spy Chasers
38011,Crashing Las Vegas
38034,Hate Story
38035,Hate Story 2
38044,The Huntsman: Winter's War
38045,Neighbors 2: Sorority Rising
38056,Mysterious Intruder
38115,Black Magic
38211,Blondie Goes Latin
38215,00 Schneider - Jagd auf Nihil Baxter
38237,Otto - The Movie
38257,Macross Frontier: The Wings of Goodbye
38282,Barbershop: The Next Cut
38294,Finding Dory
38333,Witchery
38357,Tarzan and the Valley of Gold
38429,Fatal Fury: The Motion Picture
38437,Slayers Gorgeous
38458,Megazone 23 III
38493,Lust for a Vampire
38608,Carry On Cleo
38640,Billa II
38706,Alvin and the Chipmunks: The Road Chip
38725,Leatherface
38787,CyberTracker
38844,Alice Through the Looking Glass
38936,The Philadelphia Experiment
38967,Now You See Me 2
39122,The Blade Master
39131,8213: Gacy House
39157,Teenage Mutant Ninja Turtles: Out of the Shadows
39162,Fast Getaway
39184,Bullet to Beijing
39216,The Conjuring 2
39219,Circuitry Man II: Plughead Rewired
39268,Ghostbusters
39274,The Condemned 2
39406,Jason Bourne
39451,The Purge: Election Year
39453,Ice Age: Collision Course
39767,Soul Music
39786,Kingsglaive: Final Fantasy XV
39841,"Splash, Too"
39888,Sharknado 4: The 4th Awakens
40030,Klown Forever
40037,Mechanic: Resurrection
40137,Bridget Jones's Baby
40161,High Strung
40182,Spirits' Homecoming
40240,Race 2
40345,Hard Target 2
40381,Davy Crockett and the River Pirates
40399,The Falcon Takes Over
40414,Dhamaal
40465,Housefull
40471,Birdemic 2: The Resurrection
40474,Akkare Akkare Akkare
40501,The Legend of Nigger Charley
40522, One Family....A Desperate Struggle
40563,Rampage: Capital Punishment
40564,Rampage: President Down
40572,Shiloh 2: Shiloh Season
40617,Blair Witch
40664,20th Century Boys - Chapter 3: Our Flag
40691,Gumball 3000: The Movie
40792,Maigret Sets a Trap
40920,The Cheetah Girls
40922,The Wizards Return: Alex vs. Alex
40959,Honey 2
40976,An American Girl: Chrissa Stands Strong
40981,Molly: An American Girl on the Home Front
40993,You Are Umasou
41044,Phantasm: Ravager
41069,Inferno
41071,Ouija: Origin of Evil
41110,Avenging Angel
41170,Jack Reacher: Never Go Back
41214,Trancers 6: Life After Deth
41234,"Initiation: Silent Night, Deadly Night 4"
41282,Bad Santa 2
41315,Flatland
41603,Rogue One: A Star Wars Story
41616,Underworld: Blood Wars
41620,Wild Things: Foursome
41629,Hobgoblins
42085,xXx: Return of Xander Cage
42089,The Lego Batman Movie
42209,Rings
42211,The Secret of Blood Island
42281,John Wick: Chapter 2
42283,Logan
42288,T2 Trainspotting
42379,The Howling: New Moon Rising
42383,Resident Evil: The Final Chapter
42467,Fifty Shades Darker
42524,The Child's Eye
42548,Bad Kids of Crestview Academy
42602,The Escape
42858,Miles Jupp: Is The Chap You're Thinking Of
42946,Fists of Iron
42951,Tainá: An Amazon Adventure
42980,Guyver: Dark Hero
43001,2 Lava 2 Lantula!
43012,Alien: Covenant
43060,Sleepaway Camp II: Unhappy Campers
43079,Epoch
43109,Darkman III: Die Darkman Die
43110,The Gingerdead Man
43112,Inspector Gadget 2
43113,Species: The Awakening
43114,Species III
43179,Hercules
43215,Eating Out
43297,Born to Race: Fast Track
43315,Beware! The Blob
43363,The Fate of the Furious
43402,Cars 3
43409,Boyka: Undisputed IV
43415,The Marine 5: Battleground
43460,Bloodfight
43470,Circuitry Man
43614,Revenge of the Creature
43670,The Hidden II
43671,A Few Less Men
43747,Amityville: The Awakening
43776,3-D Sex and Zen: Extreme Ecstasy
43830,Monster High: Electrified
43831,"Monster High: Boo York, Boo York"
43832,Monster High: 13 Wishes
43833,Monster High: Welcome to Monster High
43837,Monster High: Friday Night Frights
43838,"Monster High: Frights, Camera, Action!"
43993,George of the Jungle 2
44015,The Dukes of Hazzard: The Beginning
44086,Casper: A Spirited Beginning
44114,Despicable Me 3
44154,Little Forest: Summer/Autumn
44316,The Amazing Colossal Man
44376,War for the Planet of the Apes
44532,Nemesis
44578,Adventures Of A Taxi Driver
44695,Sinbad il marinaio
44775,Goon: Last of the Enforcers
44921,Pokémon: Spell of the Unknown
44922,Pokémon: Spell of the Unknown
44923,Pokémon: Spell of the Unknown
44924,Pokémon: Spell of the Unknown
44926,Air Bud: Spikes Back
44948,Transformers: The Last Knight
44955,Six Degrees of Celebration 1914
45030,Gor
45085,Batman Beyond: The Movie
45134,Bon Cop Bad Cop 2
45342,Schoolgirl Report Part 5: What All Parents Should Know
45343,Schoolgirl Report Part 4: What Drives Parents to Despair
45360,Descendants 2
45457,Frankenstein Created Woman
45462,Carry On Camping
